,ECLO,방문자수,통행속도,주중,주말,store,새벽,밤,선릉,신논현,신사,압구정,청담
196,5,1180.0,26.47,1,0,433.333333333,1,0,0,1,0,0,0
197,3,2066.0,15.77,1,0,433.333333333,0,1,0,1,0,0,0
198,6,1727.0,18.17,0,1,433.333333333,1,0,0,1,0,0,0
199,1,2010.0,16.11,0,1,433.333333333,1,0,0,1,0,0,0
200,3,513.0,19.82,1,0,433.333333333,1,0,0,1,0,0,0
201,3,1914.0,15.45,1,0,433.333333333,0,1,0,1,0,0,0
202,5,1914.0,15.45,1,0,433.333333333,0,1,0,1,0,0,0
203,3,2414.0,16.65,1,0,433.333333333,0,1,0,1,0,0,0
204,5,1125.0,18.11,1,0,433.333333333,1,0,0,1,0,0,0
205,3,2725.0,13.68,1,0,433.333333333,0,1,0,1,0,0,0
206,6,2262.0,21.62,0,1,433.333333333,0,0,0,1,0,0,0
207,4,2127.0,20.74,1,0,433.333333333,1,0,0,1,0,0,0
208,5,1407.0,25.16,1,0,433.333333333,1,0,0,1,0,0,0
209,3,1818.0,21.22,0,1,433.333333333,0,0,0,1,0,0,0
210,3,3584.0,17.26,1,0,433.333333333,0,1,0,1,0,0,0
211,3,2709.0,19.63,1,0,433.333333333,1,0,0,1,0,0,0
212,6,3586.0,19.21,1,0,433.333333333,0,0,0,1,0,0,0
213,6,4206.0,17.06,1,0,433.333333333,0,0,0,1,0,0,0
214,3,3038.0,19.58,0,1,433.333333333,0,0,0,1,0,0,0
215,5,1993.0,19.0,1,0,433.333333333,1,0,0,1,0,0,0
216,6,3014.0,20.01,0,1,433.333333333,0,0,0,1,0,0,0
217,3,594.0,17.94,1,0,433.333333333,1,0,0,1,0,0,0
218,9,3039.0,18.14,0,1,433.333333333,0,0,0,1,0,0,0
219,3,3740.0,17.42,1,0,433.333333333,0,1,0,1,0,0,0
220,8,2841.0,20.25,1,0,433.333333333,0,0,0,1,0,0,0
221,3,3721.0,15.53,1,0,433.333333333,0,1,0,1,0,0,0
222,3,936.0,23.14,1,0,433.333333333,1,0,0,1,0,0,0
223,9,1390.0,16.36,1,0,433.333333333,0,1,0,1,0,0,0
224,11,5510.0,16.79,1,0,433.333333333,0,1,0,1,0,0,0
225,3,4771.0,15.13,1,0,433.333333333,0,0,0,1,0,0,0
226,3,3408.0,18.22,1,0,433.333333333,0,1,0,1,0,0,0
227,3,4475.0,16.92,1,0,433.333333333,0,0,0,1,0,0,0
228,3,4276.0,16.03,1,0,433.333333333,0,1,0,1,0,0,0
229,8,988.0,16.91,0,1,433.333333333,0,1,0,1,0,0,0
230,3,2616.0,18.01,1,0,433.333333333,0,1,0,1,0,0,0
231,3,2064.0,20.2,1,0,433.333333333,1,0,0,1,0,0,0
232,6,4206.0,17.37,1,0,433.333333333,0,1,0,1,0,0,0
233,3,6717.0,16.57,1,0,433.333333333,0,0,0,1,0,0,0
234,3,2151.0,20.03,0,1,433.333333333,1,0,0,1,0,0,0
235,6,887.0,19.63,0,1,433.333333333,1,0,0,1,0,0,0
236,3,1073.0,18.21,0,1,433.333333333,0,1,0,1,0,0,0
237,3,16.0,18.64,1,0,433.333333333,0,1,0,1,0,0,0
238,5,1392.0,23.36,1,0,433.333333333,1,0,0,1,0,0,0
239,3,1401.0,22.18,1,0,433.333333333,1,0,0,1,0,0,0
240,3,4417.0,18.42,1,0,433.333333333,0,1,0,1,0,0,0
241,3,3133.0,19.48,1,0,433.333333333,0,1,0,1,0,0,0
242,1,1778.0,23.02,1,0,433.333333333,1,0,0,1,0,0,0
243,3,2399.0,22.04,1,0,433.333333333,1,0,0,1,0,0,0
244,5,1666.0,23.61,1,0,433.333333333,1,0,0,1,0,0,0
245,9,3091.0,19.22,1,0,433.333333333,0,1,0,1,0,0,0
246,6,4814.0,14.92,1,0,433.333333333,0,1,0,1,0,0,0
247,3,5222.0,15.7,1,0,433.333333333,0,1,0,1,0,0,0
248,6,5129.0,16.37,0,1,433.333333333,0,1,0,1,0,0,0
249,3,4808.0,18.83,1,0,433.333333333,0,1,0,1,0,0,0
250,5,2461.0,25.49,1,0,433.333333333,0,0,0,1,0,0,0
251,5,2749.0,19.63,0,1,433.333333333,0,1,0,1,0,0,0
252,14,2914.0,18.96,1,0,433.333333333,0,1,0,1,0,0,0
253,3,3165.0,17.23,1,0,433.333333333,0,1,0,1,0,0,0
254,5,2952.0,21.92,1,0,433.333333333,0,0,0,1,0,0,0
255,3,1860.0,24.53,0,1,433.333333333,0,0,0,1,0,0,0
256,6,4373.0,16.98,1,0,433.333333333,0,1,0,1,0,0,0
257,6,1637.0,21.16,0,1,433.333333333,1,0,0,1,0,0,0
258,3,4511.0,21.68,0,1,433.333333333,0,0,0,1,0,0,0
259,3,5305.0,18.18,1,0,433.333333333,0,0,0,1,0,0,0
260,3,2623.0,19.4,1,0,433.333333333,0,1,0,1,0,0,0
261,6,2408.0,21.18,0,1,433.333333333,1,0,0,1,0,0,0
262,3,2180.0,21.28,1,0,433.333333333,1,0,0,1,0,0,0
263,9,6498.0,20.87,1,0,433.333333333,1,0,0,1,0,0,0
264,3,5104.0,22.21,1,0,433.333333333,1,0,0,1,0,0,0
265,15,6114.0,23.76,0,1,433.333333333,0,0,0,1,0,0,0
266,3,2511.0,20.79,1,0,433.333333333,1,0,0,1,0,0,0
267,6,3797.0,19.28,1,0,433.333333333,0,1,0,1,0,0,0
268,6,3613.0,19.57,0,1,433.333333333,1,0,0,1,0,0,0
269,3,2277.0,22.46,1,0,433.333333333,1,0,0,1,0,0,0
270,3,2641.0,21.71,0,1,433.333333333,0,1,0,1,0,0,0
271,8,4096.0,17.64,1,0,433.333333333,0,1,0,1,0,0,0
272,3,3062.0,17.54,1,0,433.333333333,0,0,0,1,0,0,0
273,9,5177.0,18.36,0,1,433.333333333,0,1,0,1,0,0,0
274,3,5222.0,16.95,1,0,433.333333333,0,0,0,1,0,0,0
275,6,2574.0,20.81,0,1,433.333333333,0,1,0,1,0,0,0
276,3,5898.0,10.23,1,0,433.333333333,0,0,0,1,0,0,0
277,6,4920.0,19.6,1,0,433.333333333,0,0,0,1,0,0,0
278,6,987.0,15.67,1,0,433.333333333,0,1,0,1,0,0,0
279,3,321.0,18.9,1,0,433.333333333,0,1,0,1,0,0,0
280,3,36.0,21.17,0,1,433.333333333,1,0,0,1,0,0,0
281,3,507.0,13.01,1,0,433.333333333,0,0,0,1,0,0,0
282,6,153.0,17.61,1,0,433.333333333,0,1,0,1,0,0,0
283,5,618.0,14.73,1,0,433.333333333,0,0,0,1,0,0,0
284,14,942.0,19.23,0,1,433.333333333,0,0,0,1,0,0,0
285,6,714.0,15.12,1,0,433.333333333,0,1,0,1,0,0,0
286,3,155.0,23.9,0,1,433.333333333,0,0,0,1,0,0,0
287,3,468.0,19.97,1,0,433.333333333,0,1,0,1,0,0,0
288,15,2246.0,21.17,1,0,433.333333333,1,0,0,1,0,0,0
289,11,710.0,15.75,0,1,433.333333333,0,1,0,1,0,0,0
290,6,3996.0,16.29,0,1,433.333333333,0,0,0,1,0,0,0
291,3,2006.0,21.33,0,1,433.333333333,1,0,0,1,0,0,0
292,6,3561.0,19.81,0,1,433.333333333,1,0,0,1,0,0,0
293,3,1413.0,18.24,1,0,433.333333333,1,0,0,1,0,0,0
294,6,1808.0,22.94,1,0,433.333333333,1,0,0,1,0,0,0
295,8,816.0,21.27,1,0,433.333333333,0,1,0,1,0,0,0
296,5,2071.0,20.75,1,0,433.333333333,1,0,0,1,0,0,0
297,6,1839.0,22.87,1,0,433.333333333,1,0,0,1,0,0,0
298,3,1571.0,22.4,0,1,433.333333333,1,0,0,1,0,0,0
299,1,1405.0,23.79,0,1,433.333333333,1,0,0,1,0,0,0
300,3,3043.0,22.75,1,0,433.333333333,0,0,0,1,0,0,0
301,6,1558.0,23.69,1,0,433.333333333,1,0,0,1,0,0,0
302,4,1191.0,20.3,1,0,433.333333333,1,0,0,1,0,0,0
303,5,2025.0,23.71,1,0,433.333333333,1,0,0,1,0,0,0
304,1,829.0,20.99,0,1,433.333333333,0,1,0,1,0,0,0
305,6,1266.0,22.79,1,0,433.333333333,1,0,0,1,0,0,0
306,3,3400.0,24.16,1,0,433.333333333,0,1,0,1,0,0,0
307,3,2266.0,26.99,1,0,433.333333333,1,0,0,1,0,0,0
308,6,2266.0,26.99,1,0,433.333333333,1,0,0,1,0,0,0
309,7,1136.0,23.95,1,0,433.333333333,1,0,0,1,0,0,0
310,3,4137.0,20.23,0,1,433.333333333,0,0,0,1,0,0,0
311,5,2290.0,22.35,1,0,433.333333333,1,0,0,1,0,0,0
312,6,4717.0,19.04,1,0,433.333333333,0,1,0,1,0,0,0
313,6,3069.0,17.43,1,0,433.333333333,0,1,0,1,0,0,0
314,3,1398.0,17.93,1,0,433.333333333,1,0,0,1,0,0,0
